Arizona Cardinals,crd,2025,https://www.pro-football-reference.com/teams/crd/2025_roster.htm\
Atlanta Falcons,atl,2025,https://www.pro-football-reference.com/teams/atl/2025_roster.htm\
Baltimore Ravens,rav,2025,https://www.pro-football-reference.com/teams/rav/2025_roster.htm\
Buffalo Bills,buf,2025,https://www.pro-football-reference.com/teams/buf/2025_roster.htm\
Carolina Panthers,car,2025,https://www.pro-football-reference.com/teams/car/2025_roster.htm\
Chicago Bears,chi,2025,https://www.pro-football-reference.com/teams/chi/2025_roster.htm\
Cincinnati Bengals,cin,2025,https://www.pro-football-reference.com/teams/cin/2025_roster.htm\
Cleveland Browns,cle,2025,https://www.pro-football-reference.com/teams/cle/2025_roster.htm\
Dallas Cowboys,dal,2025,https://www.pro-football-reference.com/teams/dal/2025_roster.htm\
Denver Broncos,den,2025,https://www.pro-football-reference.com/teams/den/2025_roster.htm\
Detroit Lions,det,2025,https://www.pro-football-reference.com/teams/det/2025_roster.htm\
Green Bay Packers,gnb,2025,https://www.pro-football-reference.com/teams/gnb/2025_roster.htm\
Houston Texans,htx,2025,https://www.pro-football-reference.com/teams/htx/2025_roster.htm\
Indianapolis Colts,clt,2025,https://www.pro-football-reference.com/teams/clt/2025_roster.htm\
Jacksonville Jaguars,jax,2025,https://www.pro-football-reference.com/teams/jax/2025_roster.htm\
Kansas City Chiefs,kan,2025,https://www.pro-football-reference.com/teams/kan/2025_roster.htm\
Las Vegas Raiders,rai,2025,https://www.pro-football-reference.com/teams/rai/2025_roster.htm\
Los Angeles Chargers,sdg,2025,https://www.pro-football-reference.com/teams/sdg/2025_roster.htm\
Los Angeles Rams,ram,2025,https://www.pro-football-reference.com/teams/ram/2025_roster.htm\
Miami Dolphins,mia,2025,https://www.pro-football-reference.com/teams/mia/2025_roster.htm\
Minnesota Vikings,min,2025,https://www.pro-football-reference.com/teams/min/2025_roster.htm\
New England Patriots,nwe,2025,https://www.pro-football-reference.com/teams/nwe/2025_roster.htm\
New Orleans Saints,nor,2025,https://www.pro-football-reference.com/teams/nor/2025_roster.htm\
New York Giants,nyg,2025,https://www.pro-football-reference.com/teams/nyg/2025_roster.htm\
New York Jets,nyj,2025,https://www.pro-football-reference.com/teams/nyj/2025_roster.htm\
Philadelphia Eagles,phi,2025,https://www.pro-football-reference.com/teams/phi/2025_roster.htm\
Pittsburgh Steelers,pit,2025,https://www.pro-football-reference.com/teams/pit/2025_roster.htm\
San Francisco 49ers,sfo,2025,https://www.pro-football-reference.com/teams/sfo/2025_roster.htm\
Seattle Seahawks,sea,2025,https://www.pro-football-reference.com/teams/sea/2025_roster.htm\
Tampa Bay Buccaneers,tam,2025,https://www.pro-football-reference.com/teams/tam/2025_roster.htm\
Tennessee Titans,oti,2025,https://www.pro-football-reference.com/teams/oti/2025_roster.htm\
Washington Commanders,was,2025,https://www.pro-football-reference.com/teams/was/2025_roster.htm\